Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add user role,Chrome 63.0.3239.132,,2018-02-09 09:46:44,2018-02-09 09:46:55,"11,695s",PASSED
,,,,,,
Test Cases/Authorization_Admin,Chrome 63.0.3239.132,,2018-02-09 09:46:44,2018-02-09 09:46:52,"8,207s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-09 09:46:44,2018-02-09 09:46:50,"6,298s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-09 09:46:50,2018-02-09 09:46:52,"1,392s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-09 09:46:52,2018-02-09 09:46:52,"0,035s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-09 09:46:52,2018-02-09 09:46:52,"0,110s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-09 09:46:52,2018-02-09 09:46:52,"0,103s",PASSED
click,Chrome 63.0.3239.132,,2018-02-09 09:46:52,2018-02-09 09:46:52,"0,101s",PASSED
,,,,,,
Test Cases/Add_User_Role,Chrome 63.0.3239.132,,2018-02-09 09:46:52,2018-02-09 09:46:55,"2,501s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-09 09:46:52,2018-02-09 09:46:52,"0,038s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-09 09:46:52,2018-02-09 09:46:53,"0,550s",PASSED
click,Chrome 63.0.3239.132,,2018-02-09 09:46:53,2018-02-09 09:46:53,"0,072s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-09 09:46:53,2018-02-09 09:46:55,"1,750s",PASSED
