Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create Folder,Chrome 66.0.3359.117,,2018-04-20 11:54:27,2018-04-20 11:54:52,"24,707s",PASSED
,,,,,,
Test Cases/Authorization_Admin,Chrome 66.0.3359.117,,2018-04-20 11:54:27,2018-04-20 11:54:33,"6,241s",PASSED
openBrowser,Chrome 66.0.3359.117,,2018-04-20 11:54:27,2018-04-20 11:54:32,"4,283s",PASSED
maximizeWindow,Chrome 66.0.3359.117,,2018-04-20 11:54:32,2018-04-20 11:54:33,"1,401s",PASSED
waitForElementPresent,Chrome 66.0.3359.117,,2018-04-20 11:54:33,2018-04-20 11:54:33,"0,046s",PASSED
setText,Chrome 66.0.3359.117,,2018-04-20 11:54:33,2018-04-20 11:54:33,"0,108s",PASSED
setText,Chrome 66.0.3359.117,,2018-04-20 11:54:33,2018-04-20 11:54:33,"0,101s",PASSED
click,Chrome 66.0.3359.117,,2018-04-20 11:54:33,2018-04-20 11:54:33,"0,095s",PASSED
,,,,,,
Test Cases/Create_new_folder,Chrome 66.0.3359.117,,2018-04-20 11:54:33,2018-04-20 11:54:51,"17,575s",PASSED
waitForElementPresent,Chrome 66.0.3359.117,,2018-04-20 11:54:34,2018-04-20 11:54:39,"5,261s",PASSED
click,Chrome 66.0.3359.117,,2018-04-20 11:54:39,2018-04-20 11:54:39,"0,548s",PASSED
click,Chrome 66.0.3359.117,,2018-04-20 11:54:39,2018-04-20 11:54:40,"1,048s",PASSED
delay,Chrome 66.0.3359.117,,2018-04-20 11:54:40,2018-04-20 11:54:45,"5,013s",PASSED
click,Chrome 66.0.3359.117,,2018-04-20 11:54:45,2018-04-20 11:54:46,"0,555s",PASSED
delay,Chrome 66.0.3359.117,,2018-04-20 11:54:46,2018-04-20 11:54:51,"5,000s",PASSED
