Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create new Role,Chrome 63.0.3239.132,,2018-02-06 14:07:33,2018-02-06 14:08:14,"40,695s",FAILED
,,,,,,
Test Cases/Authorization_Admin,Chrome 63.0.3239.132,,2018-02-06 14:07:34,2018-02-06 14:07:41,"7,642s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-06 14:07:34,2018-02-06 14:07:39,"5,742s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-06 14:07:39,2018-02-06 14:07:41,"1,389s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-06 14:07:41,2018-02-06 14:07:41,"0,034s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 14:07:41,2018-02-06 14:07:41,"0,095s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 14:07:41,2018-02-06 14:07:41,"0,103s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 14:07:41,2018-02-06 14:07:41,"0,099s",PASSED
,,,,,,
Test Cases/Create_Role,Chrome 63.0.3239.132,,2018-02-06 14:07:41,2018-02-06 14:08:13,"32,153s",FAILED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-06 14:07:41,2018-02-06 14:07:41,"0,029s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-06 14:07:41,2018-02-06 14:07:42,"0,530s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 14:07:42,2018-02-06 14:07:42,"0,062s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 14:07:42,2018-02-06 14:08:13,"31,359s",FAILED
