Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create new user,Chrome 63.0.3239.132,,2018-02-06 11:31:57,2018-02-06 11:32:39,"41,613s",FAILED
,,,,,,
Test Cases/Authorization,Chrome 63.0.3239.132,,2018-02-06 11:31:58,2018-02-06 11:32:06,"7,825s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-06 11:31:58,2018-02-06 11:32:04,"5,851s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-06 11:32:04,2018-02-06 11:32:05,"1,419s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-06 11:32:05,2018-02-06 11:32:05,"0,043s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 11:32:05,2018-02-06 11:32:05,"0,116s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 11:32:05,2018-02-06 11:32:05,"0,113s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 11:32:05,2018-02-06 11:32:06,"0,095s",PASSED
,,,,,,
Test Cases/Create user,Chrome 63.0.3239.132,Creation new user to test system,2018-02-06 11:32:06,2018-02-06 11:32:38,"32,920s",FAILED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-06 11:32:06,2018-02-06 11:32:06,"0,041s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-06 11:32:06,2018-02-06 11:32:06,"0,077s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 11:32:06,2018-02-06 11:32:06,"0,102s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 11:32:06,2018-02-06 11:32:07,"1,313s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 11:32:07,2018-02-06 11:32:38,"31,223s",FAILED
