Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create table,Chrome 65.0.3325.146,,2018-03-14 14:37:50,2018-03-14 14:38:20,"29,421s",FAILED
,,,,,,
Test Cases/Authorization_Admin,Chrome 65.0.3325.146,,2018-03-14 14:37:51,2018-03-14 14:38:05,"14,082s",PASSED
openBrowser,Chrome 65.0.3325.146,,2018-03-14 14:37:51,2018-03-14 14:38:03,"11,878s",PASSED
maximizeWindow,Chrome 65.0.3325.146,,2018-03-14 14:38:03,2018-03-14 14:38:04,"1,470s",PASSED
waitForElementPresent,Chrome 65.0.3325.146,,2018-03-14 14:38:04,2018-03-14 14:38:04,"0,107s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:38:04,2018-03-14 14:38:04,"0,194s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:38:04,2018-03-14 14:38:05,"0,133s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:05,2018-03-14 14:38:05,"0,077s",PASSED
,,,,,,
Test Cases/Create_Table,Chrome 65.0.3325.146,,2018-03-14 14:38:05,2018-03-14 14:38:19,"14,245s",FAILED
waitForElementPresent,Chrome 65.0.3325.146,,2018-03-14 14:38:05,2018-03-14 14:38:10,"5,077s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:10,2018-03-14 14:38:10,"0,382s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:10,2018-03-14 14:38:11,"1,078s",PASSED
waitForElementPresent,Chrome 65.0.3325.146,,2018-03-14 14:38:11,2018-03-14 14:38:17,"5,346s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:38:17,2018-03-14 14:38:17,"0,204s",PASSED
waitForElementPresent,Chrome 65.0.3325.146,,2018-03-14 14:38:17,2018-03-14 14:38:17,"0,018s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:17,2018-03-14 14:38:17,"0,084s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:17,2018-03-14 14:38:17,"0,091s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:17,2018-03-14 14:38:17,"0,059s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:38:17,2018-03-14 14:38:17,"0,230s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:17,2018-03-14 14:38:17,"0,078s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:17,2018-03-14 14:38:17,"0,118s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:17,2018-03-14 14:38:18,"0,067s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:18,2018-03-14 14:38:18,"0,070s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:38:18,2018-03-14 14:38:18,"0,141s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:18,2018-03-14 14:38:18,"0,086s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:18,2018-03-14 14:38:18,"0,080s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:18,2018-03-14 14:38:18,"0,083s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:18,2018-03-14 14:38:18,"0,077s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:38:18,2018-03-14 14:38:18,"0,118s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:18,2018-03-14 14:38:18,"0,058s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:18,2018-03-14 14:38:18,"0,094s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:18,2018-03-14 14:38:18,"0,047s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:38:18,2018-03-14 14:38:19,"0,426s",FAILED
