Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Global,Chrome 67.0.3396.99,,2018-08-03 18:41:33,2018-08-03 18:43:59,"2m - 25,847s",FAILED
,,,,,,
Test Cases/Authorization_Admin,Chrome 67.0.3396.99,,2018-08-03 18:41:33,2018-08-03 18:41:45,"11,854s",PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-03 18:41:33,2018-08-03 18:41:43,"10,062s",PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-08-03 18:41:43,2018-08-03 18:41:45,"1,171s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-08-03 18:41:45,2018-08-03 18:41:45,"0,058s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:41:45,2018-08-03 18:41:45,"0,124s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:41:45,2018-08-03 18:41:45,"0,127s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:41:45,2018-08-03 18:41:45,"0,079s",PASSED
,,,,,,
Test Cases/Create_new_folder,Chrome 67.0.3396.99,,2018-08-03 18:41:45,2018-08-03 18:41:58,"13,230s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-08-03 18:41:45,2018-08-03 18:41:46,"0,535s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:41:46,2018-08-03 18:41:46,"0,088s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-08-03 18:41:46,2018-08-03 18:41:48,"2,109s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:41:48,2018-08-03 18:41:48,"0,175s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:41:48,2018-08-03 18:41:48,"0,074s",PASSED
delay,Chrome 67.0.3396.99,,2018-08-03 18:41:48,2018-08-03 18:41:53,"5,016s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:41:53,2018-08-03 18:41:53,"0,119s",PASSED
delay,Chrome 67.0.3396.99,,2018-08-03 18:41:53,2018-08-03 18:41:58,"5,002s",PASSED
,,,,,,
Test Cases/Create_Table,Chrome 67.0.3396.99,,2018-08-03 18:41:58,2018-08-03 18:43:19,"1m - 21,248s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-08-03 18:41:58,2018-08-03 18:41:58,"0,031s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:41:58,2018-08-03 18:41:58,"0,040s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:41:58,2018-08-03 18:41:58,"0,082s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-08-03 18:41:58,2018-08-03 18:42:00,"1,182s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:42:00,2018-08-03 18:42:00,"0,210s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-08-03 18:42:00,2018-08-03 18:42:00,"0,021s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:00,2018-08-03 18:42:00,"0,124s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:00,2018-08-03 18:42:00,"0,093s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:00,2018-08-03 18:42:00,"0,072s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:42:00,2018-08-03 18:42:00,"0,237s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:00,2018-08-03 18:42:01,"0,096s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:01,2018-08-03 18:42:01,"0,102s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:01,2018-08-03 18:42:01,"0,073s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:01,2018-08-03 18:42:01,"0,071s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:42:01,2018-08-03 18:42:01,"0,118s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:01,2018-08-03 18:42:01,"0,088s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:01,2018-08-03 18:42:01,"0,072s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:01,2018-08-03 18:42:01,"0,089s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:01,2018-08-03 18:42:01,"0,079s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:42:01,2018-08-03 18:42:01,"0,113s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:01,2018-08-03 18:42:01,"0,078s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:01,2018-08-03 18:42:01,"0,087s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:01,2018-08-03 18:42:02,"0,084s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:02,2018-08-03 18:42:02,"0,039s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:02,2018-08-03 18:42:02,"0,063s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:02,2018-08-03 18:42:02,"0,068s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:42:02,2018-08-03 18:42:02,"0,179s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:02,2018-08-03 18:42:02,"0,072s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:02,2018-08-03 18:42:02,"0,100s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:02,2018-08-03 18:42:02,"0,078s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:02,2018-08-03 18:42:02,"0,067s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:02,2018-08-03 18:42:02,"0,071s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:42:02,2018-08-03 18:42:02,"0,106s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:02,2018-08-03 18:42:02,"0,062s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:02,2018-08-03 18:42:03,"0,092s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:03,2018-08-03 18:42:03,"0,066s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:03,2018-08-03 18:42:03,"0,055s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:03,2018-08-03 18:42:03,"0,082s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:03,2018-08-03 18:42:03,"0,068s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:42:03,2018-08-03 18:42:03,"0,176s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:03,2018-08-03 18:42:03,"0,058s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:03,2018-08-03 18:42:03,"0,110s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:03,2018-08-03 18:42:03,"0,059s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:03,2018-08-03 18:42:03,"0,041s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:03,2018-08-03 18:42:03,"0,077s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:03,2018-08-03 18:42:03,"0,073s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:42:03,2018-08-03 18:42:04,"0,165s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:04,2018-08-03 18:42:04,"0,072s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:04,2018-08-03 18:42:04,"0,094s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:04,2018-08-03 18:42:04,"0,065s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:04,2018-08-03 18:42:04,"0,045s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:04,2018-08-03 18:42:04,"0,089s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:04,2018-08-03 18:42:04,"0,078s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:42:04,2018-08-03 18:42:04,"0,108s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:04,2018-08-03 18:42:04,"0,066s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:04,2018-08-03 18:42:04,"0,101s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:42:04,2018-08-03 18:42:04,"0,103s",PASSED
delay,Chrome 67.0.3396.99,,2018-08-03 18:42:04,2018-08-03 18:43:19,"1m - 15,004s",PASSED
,,,,,,
Test Cases/Create_Role,Chrome 67.0.3396.99,,2018-08-03 18:43:19,2018-08-03 18:43:23,"3,288s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:43:20,2018-08-03 18:43:20,"0,105s",PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-08-03 18:43:20,2018-08-03 18:43:22,"1,101s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:43:22,2018-08-03 18:43:22,"0,113s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:43:22,2018-08-03 18:43:22,"0,632s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:43:22,2018-08-03 18:43:23,"0,172s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:43:23,2018-08-03 18:43:23,"0,122s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:43:23,2018-08-03 18:43:23,"0,091s",PASSED
,,,,,,
Test Cases/Create_User,Chrome 67.0.3396.99,Creation new user to test system,2018-08-03 18:43:23,2018-08-03 18:43:58,"34,921s",FAILED
click,Chrome 67.0.3396.99,,2018-08-03 18:43:23,2018-08-03 18:43:23,"0,097s",PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-08-03 18:43:23,2018-08-03 18:43:24,"1,105s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:43:24,2018-08-03 18:43:24,"0,099s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-08-03 18:43:24,2018-08-03 18:43:25,"0,537s",PASSED
click,Chrome 67.0.3396.99,,2018-08-03 18:43:25,2018-08-03 18:43:25,"0,082s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:43:25,2018-08-03 18:43:25,"0,332s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:43:25,2018-08-03 18:43:25,"0,162s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:43:25,2018-08-03 18:43:25,"0,205s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:43:25,2018-08-03 18:43:26,"0,296s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:43:26,2018-08-03 18:43:26,"0,226s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-03 18:43:26,2018-08-03 18:43:58,"31,665s",FAILED
